#
# Transition date estimate for ahwahnee
#
# Site: ahwahnee
# Veg Type: GR
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2021
# Final Processing Date: 2021-07-19
# Final Processing Time: 02:02:33
# Spline RMSE gcc_mean: 0.00234
# Spline RMSE gcc_50: 0.00246
# Spline RMSE gcc_75: 0.00242
# Spline RMSE gcc_90: 0.00254
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ahwahnee,GR,3000,falling,gcc_90,2019-10-03,2019-09-20,2019-08-13,2019-10-04,2019-09-23,2019-08-17,2019-09-29,2019-09-16,2019-08-10,0.33536,0.34515,0.36104,0.33027,0.39142
ahwahnee,GR,3000,falling,gcc_90,2018-10-10,2018-09-20,2018-08-19,2018-10-13,2018-09-22,2018-08-23,2018-10-05,2018-09-16,2018-08-17,0.33909,0.34892,0.36608,0.333,0.39788
ahwahnee,GR,3000,falling,gcc_90,2017-09-25,2017-09-07,2017-06-10,2017-09-27,2017-09-10,2017-06-13,2017-09-21,2017-09-02,2017-06-06,0.34173,0.35115,0.36737,0.33586,0.39842
ahwahnee,GR,3000,falling,gcc_90,2016-07-28,2016-07-08,2016-06-18,2016-08-03,2016-07-16,2016-06-22,2016-07-22,2016-07-01,2016-06-16,0.35142,0.35798,0.3696,0.34713,0.39072
ahwahnee,GR,3000,falling,gcc_75,2020-09-06,2020-08-29,2020-08-05,2020-09-08,2020-08-31,2020-08-10,2020-09-03,2020-08-25,2020-08-02,0.33615,0.34473,0.35987,0.33099,0.38791
ahwahnee,GR,3000,falling,gcc_75,2019-10-05,2019-09-25,2019-08-16,2019-10-07,2019-09-27,2019-08-23,2019-10-03,2019-09-21,2019-08-12,0.33007,0.33981,0.35721,0.32384,0.39012
ahwahnee,GR,3000,falling,gcc_75,2018-10-09,2018-09-19,2018-08-20,2018-10-13,2018-09-21,2018-08-23,2018-10-04,2018-09-15,2018-08-17,0.33782,0.34698,0.36322,0.3316,0.39476
ahwahnee,GR,3000,falling,gcc_75,2017-09-25,2017-09-08,2017-06-12,2017-09-27,2017-09-13,2017-06-16,2017-09-21,2017-09-03,2017-06-10,0.33953,0.34833,0.36361,0.33413,0.39186
ahwahnee,GR,3000,falling,gcc_75,2016-07-29,2016-07-11,2016-06-19,2016-08-04,2016-07-17,2016-06-22,2016-07-23,2016-07-04,2016-06-16,0.34967,0.35604,0.36675,0.34552,0.38764
ahwahnee,GR,3000,falling,gcc_50,2020-09-06,2020-08-30,2020-08-08,2020-09-08,2020-09-01,2020-08-12,2020-09-03,2020-08-27,2020-08-04,0.33208,0.34084,0.35517,0.32734,0.38272
ahwahnee,GR,3000,falling,gcc_50,2019-09-30,2019-09-18,2019-08-11,2019-10-02,2019-09-21,2019-08-16,2019-09-27,2019-09-14,2019-08-07,0.33237,0.34116,0.35652,0.32681,0.38614
ahwahnee,GR,3000,falling,gcc_50,2018-10-11,2018-09-21,2018-08-20,2018-10-14,2018-09-23,2018-08-25,2018-10-06,2018-09-17,2018-08-18,0.33428,0.34323,0.35959,0.32839,0.38961
ahwahnee,GR,3000,falling,gcc_50,2017-09-25,2017-09-09,2017-06-12,2017-09-28,2017-09-13,2017-06-16,2017-09-21,2017-09-04,2017-06-10,0.33659,0.34509,0.35975,0.33125,0.38716
ahwahnee,GR,3000,falling,gcc_50,2016-08-02,2016-07-17,2016-06-19,2016-08-10,2016-07-21,2016-06-23,2016-07-26,2016-07-10,2016-06-17,0.34638,0.35249,0.36428,0.3421,0.3852
ahwahnee,GR,3000,falling,gcc_mean,2020-09-04,2020-08-29,2020-08-09,2020-09-05,2020-08-31,2020-08-13,2020-09-02,2020-08-26,2020-08-06,0.32911,0.33847,0.35346,0.32479,0.38144
ahwahnee,GR,3000,falling,gcc_mean,2019-09-30,2019-09-18,2019-08-08,2019-10-02,2019-09-21,2019-08-12,2019-09-27,2019-09-15,2019-08-05,0.33231,0.34111,0.35595,0.32688,0.38398
ahwahnee,GR,3000,falling,gcc_mean,2018-10-12,2018-09-23,2018-08-19,2018-10-15,2018-09-25,2018-08-25,2018-10-08,2018-09-20,2018-07-29,0.33311,0.34169,0.35808,0.32703,0.38852
ahwahnee,GR,3000,falling,gcc_mean,2017-09-24,2017-09-06,2017-06-13,2017-09-27,2017-09-09,2017-06-17,2017-09-18,2017-09-02,2017-06-10,0.33661,0.34483,0.35884,0.33154,0.386
ahwahnee,GR,3000,falling,gcc_mean,2016-08-03,2016-07-19,2016-06-20,2016-08-09,2016-07-23,2016-06-24,2016-07-27,2016-07-13,2016-06-17,0.34477,0.35122,0.36246,0.34068,0.38365
